mapSize: [41, 41],
map: [
  [ MobleTree3, -44.000, 0.000, -80.000, 0.420, 0.375, 0.420, 270.000 ],
  [ MobleTree2, 12.000, 0.000, 48.000, 0.379, 0.465, 0.379, 90.000 ],
  [ Tree3, 28.000, 0.000, 48.000, 0.862, 1.178, 0.862, 0.000 ],
  [ MobleTree3, 72.000, 0.000, 48.000, 0.562, 0.375, 0.562, 270.000 ],
  [ MobleTree2, -72.000, 0.000, 52.000, 0.598, 0.514, 0.598, 180.000 ],
  [ Tree3, -60.000, 0.000, 52.000, 1.213, 0.949, 1.213, 180.000 ],
  [ MobleTree2, -56.000, 0.000, 52.000, 0.375, 0.572, 0.375, 90.000 ],
  [ T-34, -40.000, 0.000, 52.000, 1.000, 1.000, 1.000, 90.000 ],
  [ MobleTree3, 8.000, 0.000, 52.000, 0.660, 0.542, 0.660, 270.000 ],
  [ Tree3, 12.000, -0.000, 52.000, 1.249, 1.074, 1.249, 0.000 ],
  [ MobleTree3, 28.000, 0.000, 52.000, 0.442, 0.434, 0.442, 0.000 ],
  [ MobleTree3, 72.000, 0.000, 52.000, 0.450, 0.524, 0.450, 0.000 ],
  [ MobleTree2, -64.000, 0.000, 56.000, 0.604, 0.596, 0.604, 270.000 ],
  [ Tree3, -56.000, 0.000, 56.000, 1.111, 1.195, 1.111, 270.000 ],
  [ MobleTree3, 8.000, 0.000, 56.000, 0.487, 0.583, 0.487, 90.000 ],
  [ MobleTree3, 12.000, 0.000, 56.000, 0.514, 0.604, 0.514, 0.000 ],
  [ MobleTree3, 28.000, 0.000, 56.000, 0.375, 0.520, 0.375, 90.000 ],
  [ MobleTree3, 32.000, 0.000, 56.000, 0.675, 0.438, 0.675, 270.000 ],
  [ T-34, 40.000, 0.000, 56.000, 1.000, 1.000, 1.000, 180.000 ],
  [ T-34, 64.000, 0.000, 56.000, 1.000, 1.000, 1.000, 180.000 ],
  [ MobleTree3, 72.000, 0.000, 56.000, 0.375, 0.409, 0.375, 270.000 ],
  [ MobleTree2, -64.000, 0.000, 60.000, 0.607, 0.513, 0.607, 0.000 ],
  [ MobleTree3, -56.000, 0.000, 60.000, 0.576, 0.603, 0.576, 180.000 ],
  [ MobleTree3, -52.000, -0.000, 60.000, 0.524, 0.660, 0.524, 90.000 ],
  [ MobleTree3, -48.000, 0.000, 60.000, 0.629, 0.667, 0.629, 0.000 ],
  [ MobleTree3, -44.000, 0.000, 60.000, 0.519, 0.498, 0.519, 0.000 ],
  [ MobleTree3, -36.000, 0.000, 60.000, 0.469, 0.375, 0.469, 0.000 ],
  [ MobleTree3, -32.000, 0.000, 60.000, 0.420, 0.487, 0.420, 270.000 ],
  [ MobleTree3, -28.000, 0.000, 60.000, 0.388, 0.375, 0.388, 270.000 ],
  [ MobleTree3, -24.000, 0.000, 60.000, 0.473, 0.531, 0.473, 270.000 ],
  [ MobleTree3, -20.000, 0.000, 60.000, 0.458, 0.375, 0.458, 270.000 ],
  [ MobleTree3, -16.000, 0.000, 60.000, 0.591, 0.489, 0.591, 90.000 ],
  [ MobleTree3, -12.000, 0.000, 60.000, 0.562, 0.610, 0.562, 0.000 ],
  [ MobleTree3, 12.000, 0.000, 60.000, 0.435, 0.509, 0.435, 180.000 ],
  [ MobleTree2, 28.000, 0.000, 60.000, 0.513, 0.452, 0.513, 270.000 ],
  [ MobleTree3, 32.000, 0.000, 60.000, 0.396, 0.542, 0.396, 270.000 ],
  [ Fortress2, 48.000, 0.000, 60.000, 1.000, 1.000, 1.000, 0.000 ],
  [ RocketLauncher, 56.000, 0.000, 60.000, 0.500, 0.500, 0.500, 270.000 ],
  [ MobleTree3, 68.000, 0.000, 60.000, 0.626, 0.375, 0.626, 180.000 ],
  [ MobleTree3, -64.000, 0.000, 64.000, 0.375, 0.375, 0.375, 0.000 ],
  [ MobleTree3, -60.000, 0.000, 64.000, 0.571, 0.705, 0.571, 180.000 ],
  [ MobleTree2, -52.000, 0.000, 64.000, 0.552, 0.539, 0.552, 0.000 ],
  [ MobleTree3, -44.000, 0.000, 64.000, 0.469, 0.375, 0.469, 270.000 ],
  [ MobleTree3, -40.000, 0.000, 64.000, 0.430, 0.598, 0.430, 180.000 ],
  [ MobleTree3, -36.000, 0.000, 64.000, 0.375, 0.596, 0.375, 0.000 ],
  [ MobleTree2, -28.000, 0.000, 64.000, 0.568, 0.384, 0.568, 90.000 ],
  [ MobleTree3, -12.000, 0.000, 64.000, 0.375, 0.697, 0.375, 180.000 ],
  [ MobleTree3, -8.000, 0.000, 64.000, 0.442, 0.375, 0.442, 0.000 ],
  [ Tree3, 12.000, 0.000, 64.000, 1.000, 1.000, 1.000, 0.000 ],
  [ MobleTree2, 28.000, 0.000, 64.000, 0.580, 0.423, 0.580, 90.000 ],
  [ MobleTree3, 32.000, 0.000, 64.000, 0.565, 0.559, 0.565, 180.000 ],
  [ MobleTree2, 64.000, 0.000, 64.000, 0.386, 0.635, 0.386, 180.000 ],
  [ MobleTree2, 68.000, 0.000, 64.000, 0.544, 0.644, 0.544, 270.000 ],
  [ MobleTree3, -52.000, 0.000, 68.000, 0.596, 0.404, 0.596, 0.000 ],
  [ MobleTree3, -48.000, 0.000, 68.000, 0.647, 0.528, 0.647, 270.000 ],
  [ MobleTree2, -28.000, 0.000, 68.000, 0.435, 0.723, 0.435, 270.000 ],
  [ BrokenHouse, -24.000, 0.000, 68.000, 1.000, 1.000, 1.000, 180.000 ],
  [ MobleTree3, -20.000, -0.000, 68.000, 0.539, 0.572, 0.539, 180.000 ],
  [ MobleTree2, -12.000, 0.000, 68.000, 0.560, 0.559, 0.560, 180.000 ],
  [ MobleTree3, -8.000, 0.000, 68.000, 0.595, 0.546, 0.595, 180.000 ],
  [ MobleTree3, 8.000, 0.000, 68.000, 0.518, 0.612, 0.518, 270.000 ],
  [ MobleTree2, 12.000, 0.000, 68.000, 0.526, 0.507, 0.526, 0.000 ],
  [ MobleTree3, 32.000, 0.000, 68.000, 0.675, 0.591, 0.675, 0.000 ],
  [ MobleTree3, 36.000, 0.000, 68.000, 0.477, 0.524, 0.477, 270.000 ],
  [ Tree3, 40.000, 0.000, 68.000, 0.857, 0.842, 0.857, 180.000 ],
  [ MobleTree3, 44.000, 0.000, 68.000, 0.547, 0.375, 0.547, 0.000 ],
  [ MobleTree3, 48.000, 0.000, 68.000, 0.430, 0.523, 0.430, 90.000 ],
  [ MobleTree3, 52.000, 0.000, 68.000, 0.618, 0.375, 0.618, 180.000 ],
  [ MobleTree3, 56.000, -0.000, 68.000, 0.590, 0.508, 0.590, 90.000 ],
  [ MobleTree3, 60.000, 0.000, 68.000, 0.516, 0.629, 0.516, 270.000 ],
  [ MobleTree2, 64.000, 0.000, 68.000, 0.442, 0.383, 0.442, 270.000 ],
  [ Tree3, -12.000, 0.000, 72.000, 0.986, 1.354, 0.986, 270.000 ],
  [ Tree3, -8.000, 0.000, 72.000, 1.022, 0.914, 1.022, 180.000 ],
  [ Tiger-I, 0.000, 0.000, 72.000, 1.000, 1.000, 1.000, 180.000 ],
  [ MobleTree3, 8.000, 0.000, 72.000, 0.456, 0.674, 0.456, 270.000 ],
  [ MobleTree2, 12.000, 0.000, 72.000, 0.519, 0.488, 0.519, 270.000 ],
  [ Tree3, 32.000, 0.000, 72.000, 1.253, 0.954, 1.253, 180.000 ],
  [ MobleTree2, 40.000, 0.000, 72.000, 0.507, 0.443, 0.507, 0.000 ],
  [ MobleTree2, 44.000, 0.000, 72.000, 0.587, 0.375, 0.587, 270.000 ],
  [ Tree3, 52.000, 0.000, 72.000, 1.335, 1.208, 1.335, 0.000 ],
  [ MobleTree3, 56.000, 0.000, 72.000, 0.454, 0.595, 0.454, 0.000 ],
  [ Tree3, -20.000, 0.000, 76.000, 1.000, 1.000, 1.000, 180.000 ],
  [ MobleTree3, -16.000, 0.000, 76.000, 0.471, 0.386, 0.471, 90.000 ],
  [ MobleTree3, -12.000, 0.000, 76.000, 0.449, 0.526, 0.449, 0.000 ],
  [ Tree3, -8.000, 0.000, 76.000, 1.000, 1.000, 1.000, 90.000 ],
  [ Tree3, 4.000, 0.000, 76.000, 1.099, 0.750, 1.099, 180.000 ],
  [ MobleTree3, 8.000, 0.000, 76.000, 0.678, 0.431, 0.678, 270.000 ],
  [ MobleTree3, 12.000, 0.000, 76.000, 0.375, 0.539, 0.375, 180.000 ],
  [ MobleTree3, -16.000, 0.000, 80.000, 0.375, 0.564, 0.375, 90.000 ],
  [ MobleTree2, -12.000, 0.000, 80.000, 0.375, 0.588, 0.375, 180.000 ],
  [ MobleTree1, -8.000, 0.000, 80.000, 0.561, 0.499, 0.561, 270.000 ],
  [ MobleTree1, -4.000, 0.000, 80.000, 0.500, 0.500, 0.500, 180.000 ],
  [ MobleTree1, 0.000, 0.000, 80.000, 0.433, 0.400, 0.433, 0.000 ],
  [ MobleTree1, 4.000, 0.000, 80.000, 0.611, 0.437, 0.611, 270.000 ],
  [ Tree3, 8.000, 0.000, 80.000, 1.430, 0.864, 1.430, 270.000 ],
  [ Tree3, 12.000, 0.000, 80.000, 1.068, 1.030, 1.068, 180.000 ],
  [ MobleTree3, 16.000, 0.000, 80.000, 0.485, 0.431, 0.485, 180.000 ],
],
groundMap: [
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 7, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 5, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 3, 3, 3, 7, 2, 1, 1, 1, 2, 5, 3, 3, 3, 3, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 3, 3, 3, 3, 3, 3, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 3, 3, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 5, 0, 0, 0, 0, 3, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 7, 0, 0, 5, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 0, 0, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 5, 3, 7, 3, 3, 3, 3, 5, 3, 7, 0, 0, 0, 0, 0, 3, 6, 4, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 3, 7, 5, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 0, 0, 0, 0, 0, 4, 3, 3, 3, 3, 7, 0, 0, 0, 0, 0, 0, 5, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 4, 3, 3, 3, 3, 3, 3, 3, 3, 7, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 3, 3, 3, 6, 0, 0, 0, 0, 4, 6, 0, 0, 0, 4, 3, 3, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 4, 3, 3, 3, 3, 3, 3, 3, 3, 6, 0, 0, 0, 0, 0, 0, 4, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 3, 7, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 4, 3, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 3, 3, 3, 7, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 3, 3, 3, 3, 6, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 5, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 5, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 6, 0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 3, 3, 3, 3, 3, 7, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 4, 3, 3, 7, 0, 0, 5, 3, 7, 0, 0, 0, 5, 3, 3, 7, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 5, 7, 0, 4, 3, 3, 3, 3, 3, 3, 3, 3, 6, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 0, 4, 6, 0, 0, 3, 2, 2, 2, 2, 2, 3, 6, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 3, 3, 7, 0, 0, 0, 0, 0, 0, 4, 2, 1, 3, 3, 2, 6, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
  0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 3, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
]
